# Omega_m      Omega_b         h            n_s       sigma_8       M_nu           fR0
2.043058e-01 3.874570e-02 7.987018e-01 9.225538e-01 6.379790e-01 5.133429e-01 -2.000141e-05
2.609870e-01 5.185046e-02 8.283683e-01 9.779761e-01 6.780595e-01 7.654892e-01 -1.902172e-04
4.165426e-01 3.135169e-02 5.651629e-01 1.118908e+00 9.319972e-01 1.218873e-01 -3.815579e-05
3.970494e-01 6.536319e-02 7.117052e-01 8.160631e-01 8.018209e-01 3.833631e-01 -2.840003e-04
1.304862e-01 4.517722e-02 6.952046e-01 1.087070e+00 7.572600e-01 7.495778e-01 -1.318635e-04
1.039904e-01 5.646471e-02 7.294820e-01 1.140799e+00 8.820000e-01 6.135382e-01 -2.179967e-04
3.735566e-01 3.659092e-02 6.645371e-01 9.623215e-01 7.280636e-01 2.715854e-01 -6.661743e-05
4.431230e-01 6.013368e-02 8.117450e-01 1.052715e+00 6.072619e-01 2.565516e-01 -2.742891e-04
2.844181e-01 4.057271e-02 5.938956e-01 8.441566e-01 9.518243e-01 8.780074e-01 -1.228342e-04
2.309472e-01 6.992518e-02 6.267291e-01 8.559219e-01 9.133903e-01 6.327346e-01 -2.573066e-04
4.973644e-01 4.952407e-02 7.664604e-01 1.047195e+00 6.705014e-01 4.999646e-01 -1.046615e-04
3.169612e-01 5.343852e-02 5.066487e-01 9.381493e-01 7.879809e-01 2.099730e-02 -1.635875e-04
1.613564e-01 3.335021e-02 8.997240e-01 1.158717e+00 8.464959e-01 8.661375e-01 -1.087157e-05
1.610124e-01 6.990433e-02 5.453227e-01 1.143947e+00 8.972884e-01 5.137182e-01 -6.919946e-05
3.165164e-01 4.938604e-02 8.602675e-01 9.529202e-01 7.434362e-01 3.733390e-01 -2.177585e-04
4.970264e-01 5.357880e-02 6.130597e-01 1.061721e+00 6.228313e-01 1.398092e-01 -1.254163e-04
2.305086e-01 3.337331e-02 7.809090e-01 8.413951e-01 9.673065e-01 9.928164e-01 -2.740507e-04
2.848629e-01 5.651973e-02 8.480755e-01 8.593174e-01 9.041548e-01 7.499607e-01 -1.061817e-04
4.434671e-01 3.668502e-02 5.583444e-01 1.037554e+00 6.611791e-01 3.846721e-01 -2.534428e-04
3.739952e-01 6.003734e-02 7.181559e-01 9.474049e-01 7.788555e-01 1.203336e-01 -1.239153e-05
1.043284e-01 4.051543e-02 6.750808e-01 1.155717e+00 8.374543e-01 7.648674e-01 -1.597237e-04
1.309218e-01 5.174920e-02 7.472487e-01 1.021958e+00 7.111765e-01 8.766919e-01 -7.827848e-05
3.973904e-01 3.128949e-02 6.588786e-01 8.811757e-01 8.541506e-01 2.561755e-01 -2.250865e-04
4.169843e-01 6.542306e-02 8.178170e-01 1.183873e+00 9.874524e-01 2.721987e-01 -2.199767e-05
2.613342e-01 4.527615e-02 5.764936e-01 9.130099e-01 6.288520e-01 6.151003e-01 -1.688765e-04
2.039648e-01 6.467486e-02 6.468271e-01 9.872752e-01 6.934336e-01 8.648292e-01 -4.143369e-05
4.735832e-01 4.478157e-02 7.600323e-01 1.115853e+00 9.472841e-01 2.061341e-02 -1.892830e-04
3.431463e-01 5.819308e-02 5.134902e-01 8.195036e-01 8.173047e-01 5.005854e-01 -1.351413e-04
1.843952e-01 3.861259e-02 8.799906e-01 1.077376e+00 7.728278e-01 6.342891e-01 -2.830663e-04
1.875201e-01 5.988214e-02 6.688785e-01 9.334467e-01 9.577940e-01 6.970683e-02 -2.106187e-04
3.337708e-01 3.942364e-02 7.367590e-01 1.163438e+00 6.022696e-01 8.173523e-01 -5.788216e-05
4.517076e-01 6.355112e-02 5.895452e-01 8.730941e-01 7.314690e-01 6.775771e-01 -2.668356e-04
2.195896e-01 4.340542e-02 8.044708e-01 1.030041e+00 8.776172e-01 4.550464e-01 -1.141745e-04
2.644586e-01 6.654559e-02 7.747075e-01 1.069832e+00 8.376462e-01 2.049115e-01 -2.463008e-04
4.076091e-01 4.665351e-02 6.316621e-01 8.270453e-01 7.962454e-01 9.297232e-01 -9.486653e-05
3.755152e-01 5.005893e-02 8.914675e-01 1.136042e+00 6.637261e-01 5.734994e-01 -1.525108e-04
1.465462e-01 3.047965e-02 5.017188e-01 9.670854e-01 9.207507e-01 3.116998e-01 -1.147529e-06
1.199536e-01 6.178483e-02 8.736914e-01 8.113908e-01 6.462428e-01 4.321942e-01 -2.372804e-04
3.521208e-01 4.126775e-02 5.323856e-01 1.091724e+00 9.876420e-01 7.006711e-01 -8.512757e-05
4.340927e-01 5.545441e-02 7.913300e-01 9.951789e-01 8.707489e-01 8.104529e-01 -1.809996e-04
2.879881e-01 3.525014e-02 6.029302e-01 1.101687e+00 7.137227e-01 7.684793e-02 -2.891751e-05
2.461341e-01 5.464290e-02 5.701936e-01 1.197833e+00 7.522670e-01 3.202607e-01 -2.014794e-04
4.751516e-01 3.480941e-02 8.367131e-01 9.052901e-01 8.077897e-01 5.651803e-01 -4.828038e-05
3.071416e-01 6.815562e-02 6.901771e-01 1.008183e+00 9.276154e-01 9.532706e-01 -2.951869e-04
1.641379e-01 4.863494e-02 7.033510e-01 8.886895e-01 6.814655e-01 1.816058e-01 -1.420636e-04
1.687726e-01 5.266934e-02 8.226956e-01 9.703908e-01 8.257430e-01 1.001387e-01 -2.688033e-04
3.025267e-01 3.287363e-02 5.829461e-01 1.126481e+00 7.843175e-01 7.872377e-01 -1.215737e-04
4.829544e-01 6.883892e-02 7.435328e-01 8.354282e-01 6.510174e-01 7.084922e-01 -2.125934e-04
2.383390e-01 4.935602e-02 6.504882e-01 1.067693e+00 9.080658e-01 4.244487e-01 -6.529274e-05
2.957039e-01 6.122062e-02 5.207240e-01 1.032583e+00 9.696456e-01 1.737546e-01 -1.558210e-04
4.263571e-01 4.074129e-02 8.856505e-01 8.642833e-01 6.142431e-01 9.610462e-01 -7.220226e-06
3.567662e-01 5.723335e-02 6.376554e-01 1.174183e+00 7.442241e-01 5.418592e-01 -2.496041e-04
1.153006e-01 3.706682e-02 7.555352e-01 9.289334e-01 8.902497e-01 3.435060e-01 -1.009280e-04
1.387072e-01 6.582510e-02 6.214532e-01 8.986417e-01 7.642404e-01 4.627462e-01 -1.835453e-04
3.833710e-01 4.597077e-02 7.846279e-01 1.004488e+00 8.196414e-01 6.699531e-01 -3.573658e-05
4.028398e-01 5.199407e-02 5.388732e-01 9.070384e-01 9.402478e-01 8.405217e-01 -2.398376e-04
2.692325e-01 3.245255e-02 8.553919e-01 1.189840e+00 6.942207e-01 4.661302e-02 -9.195330e-05
2.148828e-01 5.806486e-02 7.226561e-01 1.110887e+00 6.343149e-01 2.885002e-01 -2.967383e-04
4.563976e-01 3.764416e-02 6.842555e-01 9.922457e-01 9.757387e-01 5.966234e-01 -1.498976e-04
3.258967e-01 6.407820e-02 8.424187e-01 1.095847e+00 8.580640e-01 9.219933e-01 -2.030191e-04
1.953896e-01 4.397030e-02 5.511136e-01 8.010366e-01 7.010139e-01 2.125658e-01 -5.610761e-05
1.797651e-01 6.270071e-02 7.993336e-01 1.156708e+00 9.168394e-01 6.074752e-01 -1.287162e-04
3.477719e-01 4.284760e-02 6.062577e-01 9.401689e-01 6.738882e-01 2.798992e-01 -2.801179e-04
4.657728e-01 5.887457e-02 8.668505e-01 1.049874e+00 7.907830e-01 2.330825e-01 -7.250626e-05
2.117584e-01 3.933426e-02 5.271201e-01 8.532538e-01 8.493579e-01 8.998602e-01 -2.238369e-04
2.536077e-01 5.118315e-02 6.942859e-01 8.462752e-01 8.846555e-01 6.574122e-01 -1.436059e-05
4.247154e-01 3.076366e-02 7.121359e-01 1.050610e+00 7.306815e-01 4.773867e-01 -1.671377e-04
3.927466e-01 6.720137e-02 5.641469e-01 9.597528e-01 6.108575e-01 2.826882e-02 -1.081437e-04
1.355824e-01 4.709468e-02 8.290909e-01 1.143382e+00 9.554553e-01 8.570985e-01 -2.608454e-04
1.121750e-01 5.579739e-02 5.948136e-01 1.085002e+00 6.806788e-01 9.696021e-01 -2.354079e-05
3.661410e-01 3.600290e-02 8.113148e-01 8.181206e-01 9.346513e-01 1.630989e-01 -1.766980e-04
4.482319e-01 6.197186e-02 6.655540e-01 1.121527e+00 8.054534e-01 3.655926e-01 -7.983327e-05
2.800783e-01 4.249018e-02 7.287585e-01 9.753463e-01 7.608540e-01 5.215402e-01 -2.329148e-04
2.352138e-01 6.808647e-02 8.990927e-01 9.245125e-01 7.238856e-01 7.726441e-01 -1.377043e-04
4.923288e-01 4.760836e-02 5.077685e-01 1.178603e+00 8.668351e-01 1.124815e-01 -2.898886e-04
3.244012e-01 5.410408e-02 7.659256e-01 8.813493e-01 9.993561e-01 4.079165e-01 -4.398512e-05
1.531474e-01 3.393877e-02 6.275564e-01 1.015515e+00 6.407795e-01 7.266407e-01 -1.960987e-04
1.519974e-01 5.697377e-02 7.562817e-01 8.149267e-01 7.852228e-01 8.742349e-01 -1.510456e-04
3.200773e-01 3.747102e-02 6.493575e-01 1.081957e+00 8.297228e-01 1.314145e-02 -2.612616e-06
4.880108e-01 6.080388e-02 8.771436e-01 9.784045e-01 9.098998e-01 4.921089e-01 -2.448357e-04
2.340697e-01 4.098893e-02 5.168740e-01 1.124728e+00 6.560231e-01 6.408321e-01 -9.633171e-05
2.750279e-01 6.913787e-02 6.621106e-01 1.175556e+00 6.162226e-01 8.856213e-01 -2.641985e-04
4.462577e-01 4.891246e-02 7.442606e-01 9.213221e-01 9.748949e-01 2.491795e-01 -1.168115e-04
3.641608e-01 5.312484e-02 5.790660e-01 1.018722e+00 8.917907e-01 2.642132e-01 -2.079817e-04
1.071187e-01 3.258723e-02 8.141220e-01 8.844068e-01 7.487416e-01 6.211521e-01 -6.051919e-05
1.336015e-01 6.389859e-02 5.612898e-01 9.431653e-01 8.248929e-01 7.414804e-01 -2.919640e-04
3.876896e-01 4.429818e-02 8.447887e-01 1.159952e+00 7.662192e-01 3.912189e-01 -1.452866e-04
4.196642e-01 5.772931e-02 6.787331e-01 8.500027e-01 6.987389e-01 1.297430e-01 -1.982564e-04
2.516327e-01 3.781671e-02 7.155286e-01 1.046864e+00 9.417865e-01 7.573916e-01 -5.150329e-05
2.074397e-01 5.221305e-02 8.577921e-01 1.053848e+00 9.797208e-01 5.057290e-01 -1.789485e-04
4.646279e-01 3.208529e-02 5.491162e-01 8.492725e-01 6.352195e-01 3.793945e-01 -3.096861e-05
3.466210e-01 6.619941e-02 7.775802e-01 1.140374e+00 7.060204e-01 1.487425e-01 -2.352293e-04
1.754405e-01 4.575945e-02 6.159495e-01 9.564976e-01 8.598957e-01 9.858166e-01 -8.717861e-05
1.973157e-01 6.702908e-02 8.329197e-01 1.001235e+00 6.690774e-01 3.282538e-01 -9.754564e-06
3.309966e-01 4.742990e-02 5.726691e-01 8.956299e-01 9.152011e-01 5.591206e-01 -1.623607e-04
4.615035e-01 5.085492e-02 7.004614e-01 1.192835e+00 8.451824e-01 9.443483e-01 -1.035447e-04
2.168149e-01 3.094354e-02 6.935059e-01 9.102805e-01 7.896828e-01 1.885944e-01 -2.560797e-04
2.735083e-01 5.908622e-02 5.356725e-01 9.892395e-01 7.263589e-01 4.406630e-01 -1.239512e-04
4.040394e-01 3.895968e-02 8.707460e-01 1.107634e+00 8.833102e-01 6.941360e-01 -2.755158e-04
3.845648e-01 6.306769e-02 6.055575e-01 8.042764e-01 9.500103e-01 8.010400e-01 -6.773429e-05
1.429771e-01 4.262897e-02 7.876778e-01 1.098846e+00 6.086830e-01 8.432733e-02 -2.192236e-04
1.164936e-01 5.385671e-02 6.346503e-01 1.129541e+00 9.333083e-01 1.959855e-01 -1.330902e-04
3.610353e-01 3.435517e-02 7.714756e-01 9.735940e-01 6.763555e-01 9.367155e-01 -2.851173e-04
4.306321e-01 6.768193e-02 5.054139e-01 1.064500e+00 7.586803e-01 5.814963e-01 -3.938267e-05
2.969027e-01 4.786820e-02 8.888952e-01 8.323851e-01 8.000062e-01 3.056364e-01 -1.913341e-04
2.434441e-01 6.225859e-02 7.342287e-01 8.674887e-01 8.651991e-01 6.029018e-02 -1.877469e-05
4.848856e-01 4.203441e-02 6.726292e-01 1.035639e+00 7.190741e-01 8.248355e-01 -1.720994e-04
3.044521e-01 5.624068e-02 8.010872e-01 9.258852e-01 6.396800e-01 6.860498e-01 -7.505557e-05
1.738718e-01 3.570430e-02 5.923922e-01 1.170992e+00 9.951783e-01 4.485075e-01 -2.283095e-04
1.660694e-01 6.044428e-02 6.867367e-01 1.088486e+00 7.385798e-01 2.979434e-01 -1.107802e-04
3.122469e-01 4.025799e-02 7.188562e-01 8.083936e-01 8.957018e-01 5.891139e-01 -2.582090e-04
4.802506e-01 5.676950e-02 5.544490e-01 1.104694e+00 9.631835e-01 9.135548e-01 -1.699700e-05
2.480593e-01 3.627102e-02 8.395233e-01 9.984339e-01 6.216847e-01 2.190709e-01 -1.645013e-04
2.922570e-01 5.313311e-02 7.816891e-01 9.022937e-01 6.568110e-01 4.716986e-01 -7.397086e-05
4.352854e-01 3.366951e-02 6.247344e-01 1.194589e+00 9.028612e-01 6.629342e-01 -2.223724e-04
3.533199e-01 6.961519e-02 8.517454e-01 8.919408e-01 8.320617e-01 8.325586e-01 -1.301807e-04
1.242288e-01 4.983940e-02 5.414941e-01 1.011193e+00 7.766347e-01 5.264234e-02 -2.786533e-04
1.477461e-01 5.851883e-02 8.824121e-01 1.166485e+00 8.528592e-01 1.653123e-01 -4.603558e-05
3.797912e-01 3.843023e-02 5.237179e-01 9.366368e-01 7.068076e-01 9.675551e-01 -1.940481e-04
4.118788e-01 6.484467e-02 7.529571e-01 1.026834e+00 6.266320e-01 5.513062e-01 -1.397548e-04
2.656521e-01 4.444387e-02 6.413569e-01 8.700366e-01 9.820575e-01 3.359927e-01 -2.878381e-04
2.246894e-01 6.505856e-02 5.866911e-01 8.302394e-01 9.456998e-01 9.217186e-02 -8.305559e-05
4.536335e-01 4.549727e-02 8.201717e-01 1.072877e+00 6.885764e-01 7.932708e-01 -2.296924e-04
3.357030e-01 5.154003e-02 6.533288e-01 9.640271e-01 7.716820e-01 7.174484e-01 -2.676320e-05
1.926261e-01 3.166655e-02 7.401548e-01 1.132840e+00 8.131794e-01 4.174261e-01 -1.734757e-04
1.832505e-01 5.039688e-02 5.102925e-01 8.779702e-01 6.032205e-01 7.805992e-01 -2.510687e-04
3.388278e-01 3.030950e-02 8.953478e-01 1.018902e+00 9.617221e-01 1.064599e-01 -9.946342e-05
4.692584e-01 6.672760e-02 6.309344e-01 9.160583e-01 8.793987e-01 3.989567e-01 -1.572856e-04
2.028138e-01 4.632803e-02 7.630852e-01 1.187065e+00 7.365211e-01 7.336668e-01 -5.755701e-06
2.562769e-01 6.317440e-02 8.083210e-01 1.112793e+00 7.982705e-01 9.780485e-01 -2.152298e-04
4.150032e-01 4.361433e-02 5.980521e-01 9.840721e-01 8.428439e-01 1.565862e-01 -6.265627e-05
3.954156e-01 5.966075e-02 7.250570e-01 1.080568e+00 9.222394e-01 3.561568e-01 -2.714397e-04
1.258709e-01 3.978850e-02 6.681321e-01 8.225464e-01 6.682899e-01 5.290425e-01 -1.189373e-04
1.023544e-01 6.856989e-02 7.088548e-01 9.559267e-01 9.928420e-01 6.484486e-01 -2.062415e-04
3.689451e-01 4.838482e-02 6.972249e-01 1.147200e+00 6.482671e-01 4.844166e-01 -5.288527e-05
4.384106e-01 5.490000e-02 8.264702e-01 8.381552e-01 7.182872e-01 3.622772e-02 -2.999606e-04
2.828826e-01 3.440273e-02 5.677935e-01 1.058722e+00 8.722352e-01 8.510731e-01 -1.466752e-04
2.261845e-01 5.500139e-02 6.100577e-01 1.040806e+00 8.117201e-01 5.980357e-01 -2.418882e-04
4.958762e-01 3.553901e-02 7.968525e-01 8.623289e-01 7.532171e-01 2.874053e-01 -8.990285e-05
3.153724e-01 6.148836e-02 5.300156e-01 1.152722e+00 6.865184e-01 2.415327e-01 -1.855957e-04
1.566946e-01 4.171379e-02 8.635153e-01 9.441629e-01 9.293946e-01 8.933437e-01 -3.368604e-05
1.579140e-01 5.211828e-02 6.044104e-01 1.181470e+00 6.534409e-01 4.218087e-01 -2.961681e-04
3.133723e-01 3.234360e-02 7.894595e-01 9.154156e-01 9.120906e-01 7.130054e-01 -1.481149e-04
4.937755e-01 6.563131e-02 5.367707e-01 1.024241e+00 8.295705e-01 7.899159e-01 -2.023848e-04
2.275048e-01 4.616883e-02 8.689153e-01 8.788936e-01 7.865477e-01 9.546630e-02 -5.440730e-05
2.817569e-01 6.427016e-02 7.017061e-01 8.218097e-01 7.481980e-01 3.480485e-01 -1.841927e-04
4.403154e-01 4.377284e-02 6.914311e-01 1.075067e+00 8.927242e-01 5.393108e-01 -3.744205e-05
3.707489e-01 5.794005e-02 8.317237e-01 9.848942e-01 9.719229e-01 9.564052e-01 -2.404027e-04
1.013292e-01 3.775493e-02 5.747927e-01 1.118233e+00 6.180235e-01 1.765226e-01 -9.372285e-05
1.278739e-01 6.904065e-02 8.030154e-01 1.059463e+00 9.427208e-01 4.143555e-02 -1.564181e-04
3.941930e-01 4.916833e-02 5.913916e-01 8.436529e-01 6.981960e-01 8.437050e-01 -8.957733e-06
4.136861e-01 5.255429e-02 7.323491e-01 1.146375e+00 7.680194e-01 6.749261e-01 -2.501371e-04
2.583747e-01 3.299417e-02 6.736786e-01 9.504900e-01 8.219201e-01 4.596463e-01 -1.027479e-04
2.009123e-01 5.734779e-02 5.033878e-01 9.497614e-01 8.620872e-01 2.157804e-01 -2.682743e-04
4.703812e-01 3.694812e-02 8.901887e-01 1.153361e+00 7.034390e-01 9.169056e-01 -1.197681e-04
3.398558e-01 6.101707e-02 6.366274e-01 8.569868e-01 6.365435e-01 5.935528e-01 -2.119821e-04
1.814435e-01 4.092959e-02 7.701331e-01 1.039886e+00 9.795678e-01 2.935648e-01 -6.355123e-05
1.908183e-01 6.216016e-02 5.808974e-01 9.959238e-01 7.883579e-01 9.044948e-01 -1.359943e-04
3.367302e-01 4.228662e-02 8.130229e-01 1.100943e+00 8.453347e-01 2.303212e-01 -2.892457e-04
4.547556e-01 5.567868e-02 6.603279e-01 8.105742e-01 9.130103e-01 2.753483e-01 -4.221101e-05
2.227871e-01 3.611734e-02 7.454084e-01 1.092543e+00 6.716596e-01 6.100322e-01 -1.955382e-04
2.677492e-01 5.422462e-02 8.750192e-01 1.007340e+00 6.068821e-01 8.544287e-01 -2.531891e-05
4.105609e-01 3.382373e-02 5.180706e-01 8.895316e-01 9.529823e-01 3.293255e-02 -1.772728e-04
3.785678e-01 6.789878e-02 7.583572e-01 1.198552e+00 8.823767e-01 4.800334e-01 -8.152899e-05
1.497483e-01 4.781008e-02 6.481119e-01 9.045686e-01 7.269025e-01 6.528923e-01 -2.335537e-04
1.232044e-01 5.898534e-02 7.765300e-01 8.738862e-01 8.029790e-01 5.246023e-01 -1.617075e-05
3.551245e-01 3.920945e-02 6.178297e-01 1.029247e+00 7.568801e-01 3.605365e-01 -1.676622e-04
4.371910e-01 6.250325e-02 8.587934e-01 9.326774e-01 6.768984e-01 1.598778e-01 -1.098898e-04
2.911321e-01 4.303956e-02 5.471871e-01 1.164206e+00 9.323740e-01 9.746965e-01 -2.614522e-04
2.493804e-01 6.739943e-02 6.800763e-01 1.135347e+00 9.953313e-01 7.216743e-01 -1.269833e-04
4.781507e-01 4.690090e-02 7.135507e-01 9.677825e-01 6.383560e-01 4.110097e-01 -2.795162e-04
3.102475e-01 5.107420e-02 5.599955e-01 1.070700e+00 7.216554e-01 1.176674e-01 -7.069095e-05
1.672896e-01 3.088787e-02 8.468154e-01 8.261788e-01 8.630076e-01 7.694522e-01 -2.232993e-04
1.720662e-01 6.562052e-02 7.270829e-01 9.079045e-01 6.188096e-01 9.978734e-01 -4.082688e-05
3.054755e-01 4.508419e-02 6.668385e-01 1.188973e+00 9.648860e-01 1.367461e-01 -1.875369e-04
4.860099e-01 5.163843e-02 8.063437e-01 8.979450e-01 8.950613e-01 3.682437e-01 -1.346169e-04
2.415380e-01 3.141430e-02 5.993945e-01 1.005182e+00 7.396117e-01 5.169403e-01 -2.812561e-04
2.990051e-01 5.830203e-02 6.290060e-01 1.095078e+00 7.763840e-01 7.617751e-01 -7.881606e-05
4.293134e-01 3.848838e-02 7.640857e-01 8.018062e-01 8.334834e-01 1.252991e-01 -2.269018e-04
3.598171e-01 6.447680e-02 5.121720e-01 1.111682e+00 9.003775e-01 3.878631e-01 -2.259933e-05
1.184950e-01 4.497535e-02 8.942983e-01 9.914532e-01 6.589048e-01 7.447758e-01 -1.706095e-04
1.419505e-01 5.369751e-02 5.287708e-01 8.361494e-01 9.834801e-01 6.178607e-01 -1.067422e-04
3.863732e-01 3.325888e-02 8.655900e-01 1.066974e+00 6.263821e-01 2.675650e-01 -2.552169e-04
4.059427e-01 6.971604e-02 6.112536e-01 9.695491e-01 7.089007e-01 2.536194e-01 -1.303439e-05
2.723873e-01 4.958959e-02 7.947288e-01 1.127323e+00 8.503747e-01 8.812418e-01 -1.614338e-04
2.181307e-01 6.022503e-02 8.276172e-01 1.173364e+00 8.148826e-01 6.296244e-01 -6.856060e-05
4.594043e-01 4.031371e-02 5.660116e-01 9.297503e-01 7.688076e-01 5.032561e-01 -2.160627e-04
3.289919e-01 5.639919e-02 7.077565e-01 1.033327e+00 6.896075e-01 2.513425e-02 -1.248416e-04
1.985367e-01 3.680006e-02 6.990555e-01 8.635381e-01 9.450586e-01 8.621817e-01 -2.722725e-04
1.766623e-01 5.556946e-02 8.504022e-01 1.119194e+00 7.354892e-01 4.518621e-01 -1.996595e-04
3.446171e-01 3.512960e-02 5.434720e-01 9.776765e-01 8.800393e-01 6.827556e-01 -4.774737e-05
4.625295e-01 6.158310e-02 7.829833e-01 1.087357e+00 9.600196e-01 8.204531e-01 -2.934494e-04
2.087562e-01 4.145544e-02 6.227076e-01 8.157644e-01 6.060956e-01 6.473293e-02 -1.414665e-04
2.505124e-01 6.835918e-02 5.554991e-01 8.837798e-01 6.661960e-01 3.167866e-01 -2.390219e-04
4.215683e-01 4.844664e-02 8.376430e-01 1.013087e+00 9.247231e-01 5.702858e-01 -8.573898e-05
3.894988e-01 5.452846e-02 6.857353e-01 9.222544e-01 8.414222e-01 9.246595e-01 -1.828052e-04
1.325757e-01 3.492811e-02 7.207853e-01 1.180862e+00 7.985211e-01 2.079810e-01 -2.944652e-05
1.091194e-01 6.374490e-02 6.554532e-01 1.047494e+00 8.747197e-01 7.233572e-02 -2.480011e-04
3.629420e-01 4.320736e-02 7.389581e-01 8.556343e-01 7.161941e-01 8.130920e-01 -9.550083e-05
4.449382e-01 5.975793e-02 5.846155e-01 1.159016e+00 6.485170e-01 7.053425e-01 -1.542934e-04
2.771295e-01 3.953259e-02 8.214172e-01 9.378631e-01 9.914194e-01 4.295169e-01 -1.717739e-06
2.321628e-01 5.018373e-02 7.511256e-01 9.620353e-01 9.300359e-01 1.841552e-01 -2.088491e-04
4.891343e-01 3.036888e-02 6.424559e-01 1.141099e+00 6.854873e-01 9.487271e-01 -5.731710e-05
3.210999e-01 6.635363e-02 8.841947e-01 8.438691e-01 7.560915e-01 5.624112e-01 -2.651301e-04
1.501910e-01 4.685097e-02 5.225701e-01 1.053014e+00 8.100169e-01 3.249027e-01 -1.135270e-04
1.552482e-01 6.473389e-02 8.934943e-01 8.524313e-01 9.671544e-01 2.237733e-01 -8.358001e-05
3.230810e-01 4.456869e-02 5.004246e-01 1.044434e+00 6.241561e-01 9.108462e-01 -2.315026e-04
4.911091e-01 5.871628e-02 7.727296e-01 9.409060e-01 7.408540e-01 5.846308e-01 -2.737002e-05
2.372137e-01 3.823827e-02 6.330053e-01 1.162209e+00 8.994792e-01 3.005531e-01 -1.752218e-04
2.782742e-01 5.134196e-02 5.876162e-01 1.138042e+00 8.344822e-01 4.990464e-02 -4.543392e-05
4.492568e-01 3.186034e-02 8.054722e-01 9.588297e-01 7.806564e-01 8.371696e-01 -1.923152e-04
3.672668e-01 6.516749e-02 6.707588e-01 1.056206e+00 6.606355e-01 6.655129e-01 -1.392172e-04
1.102704e-01 4.537307e-02 7.357089e-01 8.469175e-01 9.050883e-01 4.671259e-01 -2.860228e-04
1.368997e-01 5.658120e-02 6.889317e-01 9.806882e-01 6.306522e-01 3.391227e-01 -7.332800e-05
3.906490e-01 3.647458e-02 7.054266e-01 1.122447e+00 9.844796e-01 5.463030e-01 -2.206623e-04
4.227122e-01 6.056298e-02 5.713903e-01 8.125225e-01 8.550848e-01 9.644018e-01 -1.296202e-04
2.548302e-01 4.014355e-02 8.345887e-01 1.084362e+00 7.106337e-01 1.704594e-01 -2.768791e-04
2.107302e-01 6.949466e-02 7.924778e-01 1.016341e+00 7.741519e-01 4.123918e-01 -1.113549e-04
4.675797e-01 4.995445e-02 6.011476e-01 8.867862e-01 8.171517e-01 7.204888e-01 -2.599871e-04
3.496736e-01 5.332080e-02 8.725924e-01 1.177863e+00 9.494757e-01 7.983888e-01 -1.763586e-05
1.786426e-01 3.346778e-02 5.342170e-01 9.190144e-01 6.908521e-01 8.892714e-02 -1.661970e-04
1.942678e-01 5.469827e-02 7.168135e-01 1.063730e+00 8.754264e-01 7.310797e-01 -2.436257e-04
3.277992e-01 3.459042e-02 6.770580e-01 8.331528e-01 7.340512e-01 4.035380e-01 -9.049995e-05
4.582053e-01 6.868493e-02 8.493691e-01 1.130333e+00 6.009448e-01 1.091911e-01 -1.874156e-04
2.138554e-01 4.826428e-02 5.563185e-01 9.728004e-01 9.579462e-01 7.759950e-01 -3.421906e-05
2.704558e-01 6.137393e-02 6.141092e-01 9.267532e-01 9.198173e-01 5.335320e-01 -2.044359e-04
4.008373e-01 4.183250e-02 7.790295e-01 1.170126e+00 6.642697e-01 3.535403e-01 -5.235626e-05
3.812742e-01 5.520495e-02 5.443222e-01 8.667932e-01 7.944445e-01 1.518921e-01 -2.982191e-04
1.400253e-01 3.535072e-02 8.621958e-01 1.036335e+00 8.406183e-01 9.807484e-01 -1.460638e-04
1.133952e-01 6.660340e-02 5.156139e-01 1.192018e+00 7.142655e-01 8.459486e-01 -2.134472e-04
3.578912e-01 4.643697e-02 8.787947e-01 9.110986e-01 8.698147e-01 3.947915e-02 -6.208606e-05
4.273812e-01 5.059068e-02 6.447523e-01 1.001980e+00 9.906148e-01 4.894426e-01 -2.697394e-04
2.938990e-01 3.011144e-02 7.612771e-01 8.948866e-01 6.444426e-01 6.454168e-01 -1.183030e-04
2.403381e-01 5.946880e-02 8.159863e-01 8.049964e-01 6.840470e-01 8.965053e-01 -2.527741e-04
4.817339e-01 3.998595e-02 5.775919e-01 1.098125e+00 9.254238e-01 2.363769e-01 -1.001109e-04
3.012058e-01 6.329921e-02 7.490305e-01 9.883959e-01 8.079427e-01 2.842818e-01 -1.590551e-04
1.708727e-01 4.350356e-02 6.577316e-01 1.108475e+00 7.509429e-01 6.030322e-01 -6.320762e-06
1.630138e-01 5.753551e-02 5.629991e-01 1.025993e+00 9.074254e-01 6.375798e-01 -1.795828e-04
3.090478e-01 3.801477e-02 8.308735e-01 8.708798e-01 6.520492e-01 4.972343e-01 -3.266892e-05
4.769570e-01 6.402279e-02 6.953850e-01 1.167205e+00 7.814424e-01 1.617421e-02 -2.357995e-04
2.451105e-01 4.418924e-02 7.103045e-01 9.359171e-01 8.274455e-01 8.692080e-01 -8.896133e-05
2.892060e-01 6.607460e-02 8.680960e-01 9.647708e-01 8.877659e-01 6.263069e-01 -2.913990e-04
4.320910e-01 4.587023e-02 5.250446e-01 1.132094e+00 7.463181e-01 2.610525e-01 -1.435171e-04
3.500186e-01 5.240501e-02 7.981370e-01 8.294210e-01 6.139924e-01 2.441839e-01 -1.976090e-04
1.212724e-01 3.188784e-02 6.083822e-01 1.073695e+00 9.710673e-01 8.887439e-01 -4.979782e-05
