#Omega_m                 Omega_b                  h                        n_s                      sigma_8
1.751000000000000056e-01 3.132999999999999674e-02 5.372999999999999998e-01 9.198999999999999400e-01 8.767000000000000348e-01
4.161000000000000254e-01 6.618999999999999884e-02 6.971000000000000529e-01 1.198299999999999921e+00 8.989000000000000323e-01
1.651000000000000245e-01 4.909000000000000863e-02 8.887000000000000455e-01 1.092500000000000027e+00 7.724999999999999645e-01
3.249000000000000221e-01 6.689000000000000501e-02 7.180999999999999606e-01 1.104100000000000081e+00 9.942999999999999616e-01
2.213000000000000245e-01 4.472999999999999893e-02 7.405000000000000471e-01 1.149299999999999988e+00 8.463000000000000522e-01
2.821000000000000174e-01 4.499000000000000221e-02 7.946999999999999620e-01 1.125499999999999945e+00 7.036999999999999922e-01
1.553000000000000214e-01 3.790999999999999925e-02 8.432999999999999385e-01 1.142700000000000049e+00 6.888999999999999568e-01
3.104999999999999982e-01 4.351000000000000006e-02 6.302999999999999714e-01 9.486999999999999877e-01 9.153000000000000025e-01
2.988999999999999990e-01 6.393000000000000071e-02 7.153000000000000469e-01 1.170900000000000052e+00 8.682999999999999607e-01
1.159000000000000030e-01 5.653000000000000386e-02 7.128999999999999782e-01 1.018499999999999961e+00 8.283000000000000362e-01
2.754999999999999671e-01 6.113000000000000378e-02 5.521000000000000352e-01 8.518999999999999906e-01 7.335000000000000409e-01
3.158999999999999586e-01 6.621000000000000496e-02 7.771000000000000130e-01 8.687000000000000277e-01 8.525000000000000355e-01
3.578999999999999959e-01 3.316999999999999810e-02 6.766999999999999682e-01 8.525000000000000355e-01 8.956999999999999407e-01
4.119000000000000439e-01 5.195000000000001006e-02 7.917000000000000703e-01 9.460999999999999410e-01 6.481000000000000094e-01
3.074999999999999956e-01 6.645000000000000906e-02 6.038999999999999924e-01 1.199100000000000055e+00 9.753000000000000558e-01
1.921000000000000207e-01 6.637000000000001232e-02 6.587000000000000632e-01 8.137000000000000899e-01 9.907000000000000250e-01
3.927000000000000490e-01 5.429000000000000492e-02 6.509000000000000341e-01 1.179499999999999993e+00 9.525000000000000133e-01
3.639000000000000012e-01 4.641000000000000680e-02 5.381000000000000227e-01 1.138900000000000023e+00 6.072999999999999510e-01
4.923000000000000709e-01 6.903000000000000802e-02 6.409000000000000252e-01 1.149499999999999966e+00 7.714999999999999636e-01
1.067000000000000032e-01 4.284999999999999920e-02 6.065000000000000391e-01 9.500999999999999446e-01 6.526999999999999469e-01
1.139000000000000012e-01 3.450999999999999901e-02 7.344999999999999307e-01 1.152500000000000080e+00 7.280999999999999694e-01
4.291000000000000369e-01 3.368999999999999773e-02 5.511000000000000343e-01 1.168700000000000072e+00 6.618999999999999329e-01
1.923000000000000265e-01 5.633000000000000507e-02 5.002999999999999670e-01 1.022100000000000009e+00 6.813000000000000167e-01
3.378999999999999782e-01 6.161000000000000504e-02 8.539000000000001034e-01 1.193500000000000005e+00 9.555000000000000160e-01
2.792999999999999927e-01 6.753000000000000669e-02 6.651000000000000245e-01 1.127499999999999947e+00 8.381000000000000671e-01
4.975000000000000533e-01 5.211000000000000354e-02 5.836999999999999966e-01 8.675000000000000488e-01 7.742999999999999883e-01
1.573000000000000231e-01 4.179000000000000076e-02 8.183000000000000274e-01 1.192699999999999871e+00 8.400999999999999579e-01
1.531000000000000139e-01 3.722999999999999921e-02 6.135000000000000453e-01 1.090700000000000003e+00 6.521000000000000130e-01
1.026999999999999996e-01 5.319000000000000117e-02 7.342999999999999527e-01 1.180099999999999927e+00 9.847000000000000197e-01
1.118999999999999995e-01 5.399000000000000327e-02 8.541000000000000814e-01 9.939000000000000057e-01 8.669000000000000039e-01
2.170999999999999874e-01 3.142999999999999960e-02 6.207000000000000295e-01 1.075099999999999945e+00 8.196999999999999842e-01
3.825000000000000622e-01 3.915000000000000424e-02 8.749000000000000110e-01 1.158700000000000063e+00 9.535000000000000142e-01
3.773000000000000798e-01 5.168999999999999984e-02 6.352999999999999758e-01 1.132700000000000040e+00 6.718999999999999417e-01
2.459000000000000075e-01 3.674999999999999795e-02 5.421000000000000263e-01 1.058300000000000018e+00 7.839000000000000412e-01
1.055000000000000104e-01 3.327000000000000096e-02 5.745000000000000107e-01 1.024899999999999922e+00 9.693000000000000504e-01
2.697000000000000508e-01 5.585000000000000381e-02 7.075000000000000178e-01 1.071900000000000075e+00 6.442999999999999838e-01
1.582999999999999963e-01 6.561000000000000165e-02 5.593000000000000194e-01 1.163300000000000001e+00 7.686999999999999389e-01
1.337000000000000133e-01 5.537000000000000255e-02 5.583000000000000185e-01 8.590999999999999748e-01 7.367000000000000215e-01
4.833000000000000629e-01 3.459000000000000269e-02 6.863000000000000211e-01 1.034100000000000019e+00 9.084999999999999742e-01
4.097000000000000641e-01 6.521000000000000407e-02 7.036999999999999922e-01 9.153000000000000025e-01 6.993000000000000327e-01
2.375000000000000167e-01 3.440999999999999615e-02 8.592999999999999527e-01 9.301000000000000378e-01 9.001000000000000112e-01
3.318999999999999728e-01 6.582999999999999963e-02 6.469000000000000306e-01 1.070300000000000029e+00 8.363000000000000433e-01
3.447000000000000064e-01 4.501000000000000140e-02 5.241000000000000103e-01 1.024299999999999988e+00 6.648999999999999355e-01
2.147000000000000297e-01 4.406999999999999806e-02 5.090999999999999970e-01 8.535000000000000364e-01 8.179000000000000714e-01
3.136999999999999789e-01 3.398999999999999938e-02 6.915000000000000036e-01 1.109499999999999931e+00 6.973000000000000309e-01
4.713000000000000522e-01 4.547000000000000347e-02 7.873000000000001108e-01 8.985000000000000764e-01 9.962999999999999634e-01
3.021000000000000352e-01 3.794999999999999762e-02 6.342999999999999750e-01 8.173000000000000265e-01 6.816999999999999726e-01
3.665000000000000480e-01 3.182999999999999718e-02 7.948999999999999400e-01 9.334999999999999964e-01 6.008999999999999897e-01
2.415000000000000202e-01 6.829000000000001736e-02 7.822999999999999954e-01 9.253000000000000114e-01 9.879000000000000004e-01
4.821000000000000840e-01 5.365000000000000324e-02 7.504999999999999449e-01 9.042999999999999927e-01 9.642999999999999350e-01
1.575000000000000289e-01 4.540999999999999898e-02 5.289000000000000368e-01 1.051499999999999879e+00 8.527000000000000135e-01
3.161000000000000476e-01 5.541000000000000786e-02 5.102999999999999758e-01 1.002699999999999925e+00 9.243000000000000105e-01
1.317000000000000115e-01 3.980999999999999817e-02 8.472999999999999421e-01 1.176499999999999879e+00 9.675000000000000266e-01
2.901000000000000245e-01 4.061000000000000026e-02 6.330999999999999961e-01 1.004699999999999926e+00 9.887000000000000233e-01
2.167000000000000037e-01 4.237000000000000488e-02 7.445000000000000506e-01 1.197699999999999987e+00 7.744999999999999662e-01
3.722999999999999643e-01 3.153000000000000247e-02 7.953000000000001180e-01 8.101000000000000423e-01 7.190999999999999615e-01
1.915000000000000036e-01 3.649000000000000160e-02 8.365000000000000213e-01 1.003100000000000103e+00 8.632999999999999563e-01
3.815000000000000613e-01 3.733000000000000207e-02 5.244999999999999662e-01 1.058899999999999952e+00 6.532999999999999918e-01
2.107000000000000262e-01 3.638999999999999874e-02 5.890999999999999570e-01 9.143000000000000016e-01 8.557000000000000162e-01
4.738999999999999879e-01 4.281000000000000083e-02 6.154999999999999361e-01 9.283000000000000140e-01 6.032999999999999474e-01
2.331000000000000016e-01 4.423000000000000542e-02 8.361000000000000654e-01 8.093000000000000194e-01 6.007000000000000117e-01
4.201000000000000290e-01 4.567000000000000226e-02 8.921000000000001151e-01 9.405000000000000027e-01 7.342999999999999527e-01
2.729000000000000314e-01 5.457000000000000045e-02 8.563000000000000611e-01 1.097499999999999920e+00 7.627000000000000446e-01
2.409000000000000030e-01 5.673000000000000265e-02 8.215000000000000080e-01 9.451000000000000512e-01 9.065000000000000835e-01
1.663000000000000034e-01 4.782999999999999752e-02 6.172999999999999599e-01 1.146700000000000053e+00 6.461000000000000076e-01
2.552999999999999714e-01 5.131000000000000838e-02 8.827000000000000401e-01 1.097299999999999942e+00 6.339000000000000190e-01
1.223000000000000059e-01 6.413000000000000644e-02 5.342999999999999972e-01 1.142500000000000071e+00 6.184999999999999387e-01
3.049000000000000044e-01 5.627000000000000057e-02 7.285000000000000364e-01 1.152299999999999880e+00 7.046999999999999931e-01
2.011000000000000287e-01 5.269000000000000072e-02 5.945000000000000284e-01 1.065700000000000092e+00 6.287000000000000366e-01
4.927000000000000268e-01 5.825000000000001010e-02 8.945000000000000728e-01 1.075299999999999923e+00 8.385000000000000231e-01
3.405000000000000249e-01 6.067000000000000171e-02 6.108999999999999986e-01 9.708999999999999853e-01 6.784999999999999920e-01
1.253000000000000225e-01 3.216999999999999721e-02 5.574999999999999956e-01 1.192499999999999893e+00 6.851000000000000423e-01
2.437000000000000000e-01 5.033000000000000668e-02 8.099000000000000643e-01 8.653000000000000691e-01 8.700999999999999845e-01
4.448999999999999622e-01 3.962999999999999856e-02 6.249000000000000110e-01 9.027000000000000579e-01 7.771000000000000130e-01
2.615000000000000657e-01 5.833000000000000684e-02 6.527000000000000579e-01 8.925000000000000711e-01 7.182999999999999385e-01
3.033000000000000140e-01 4.963000000000000744e-02 5.960999999999999632e-01 1.180299999999999905e+00 7.542999999999999705e-01
4.101000000000000201e-01 6.787000000000001365e-02 7.569000000000000172e-01 1.084500000000000020e+00 9.213000000000000078e-01
4.688999999999999835e-01 5.247000000000000275e-02 7.975000000000000977e-01 1.064899999999999958e+00 7.507000000000000339e-01
1.189000000000000057e-01 3.062999999999999751e-02 6.718999999999999417e-01 1.049900000000000055e+00 6.366999999999999327e-01
3.377000000000000002e-01 3.645000000000000323e-02 8.710999999999999854e-01 1.177499999999999991e+00 7.631000000000000005e-01
1.661000000000000254e-01 3.086999999999999814e-02 7.739000000000000323e-01 1.126900000000000013e+00 7.517000000000000348e-01
4.244999999999999885e-01 5.543000000000000704e-02 7.399000000000000021e-01 1.031700000000000061e+00 6.157000000000000250e-01
3.451000000000000179e-01 6.003000000000000697e-02 8.794999999999999485e-01 1.175100000000000033e+00 8.136999999999999789e-01
2.440999999999999837e-01 6.695000000000000950e-02 5.648999999999999577e-01 1.134100000000000108e+00 6.240999999999999881e-01
3.557000000000000162e-01 6.446999999999999953e-02 8.068999999999999506e-01 1.150500000000000078e+00 8.654999999999999361e-01
1.195000000000000090e-01 6.809000000000001163e-02 6.622999999999999998e-01 8.388999999999999790e-01 9.899000000000000021e-01
4.413000000000000256e-01 5.594999999999999973e-02 6.774999999999999911e-01 1.157100000000000017e+00 7.040999999999999481e-01
2.023000000000000353e-01 6.077000000000000457e-02 8.805000000000000604e-01 9.353000000000000203e-01 8.961000000000000076e-01
4.571000000000000618e-01 6.847000000000000308e-02 7.913000000000001144e-01 8.643000000000000682e-01 9.027000000000000579e-01
4.711000000000000743e-01 6.445000000000000728e-02 7.983000000000000096e-01 9.643000000000000460e-01 7.694999999999999618e-01
2.979000000000000536e-01 4.413000000000000256e-02 8.190999999999999392e-01 9.057000000000000606e-01 9.631000000000000671e-01
1.127000000000000085e-01 3.643000000000000405e-02 5.416999999999999593e-01 9.171000000000000263e-01 7.575000000000000622e-01
4.443000000000000282e-01 3.508999999999999619e-02 6.177000000000000268e-01 8.769000000000000128e-01 9.700999999999999623e-01
1.519000000000000072e-01 4.238999999999999713e-02 5.067000000000000393e-01 1.049700000000000077e+00 7.609000000000000208e-01
3.975000000000000755e-01 6.703000000000000624e-02 7.580999999999999961e-01 1.146900000000000031e+00 8.876999999999999336e-01
1.157000000000000112e-01 4.619000000000000883e-02 5.646999999999999797e-01 1.195899999999999963e+00 9.551000000000000600e-01
1.523000000000000187e-01 5.189000000000000556e-02 5.147000000000000464e-01 8.939000000000000279e-01 9.578999999999999737e-01
2.045000000000000151e-01 3.225000000000000089e-02 5.257000000000000561e-01 1.151499999999999968e+00 9.408999999999999586e-01
1.685000000000000109e-01 3.685000000000000081e-02 8.979000000000000314e-01 1.017500000000000071e+00 6.060999999999999721e-01
4.900999999999999801e-01 5.231000000000000233e-02 5.162999999999999812e-01 9.842999999999999527e-01 8.427000000000000046e-01
4.062999999999999945e-01 6.913000000000001088e-02 7.597000000000000419e-01 8.947000000000000508e-01 6.054999999999999272e-01
2.460999999999999854e-01 6.518999999999999795e-02 6.911000000000000476e-01 1.019900000000000029e+00 9.850999999999999757e-01
3.891000000000000014e-01 4.166999999999999871e-02 7.966999999999999638e-01 1.113299999999999956e+00 7.147000000000000020e-01
3.791000000000001036e-01 3.799000000000000293e-02 7.751000000000001222e-01 9.868999999999999995e-01 8.021000000000000352e-01
2.717000000000000526e-01 6.017000000000000820e-02 8.021000000000000352e-01 1.046899999999999942e+00 6.911000000000000476e-01
4.223000000000000087e-01 5.143000000000000349e-02 7.407000000000000250e-01 8.329000000000000847e-01 8.113000000000000211e-01
4.379000000000000670e-01 3.350999999999999812e-02 5.157000000000000473e-01 1.178500000000000103e+00 9.743000000000000549e-01
3.598999999999999977e-01 3.823000000000000009e-02 8.657000000000000250e-01 1.174099999999999921e+00 6.296999999999999265e-01
3.498999999999999888e-01 5.068999999999999895e-02 5.059000000000000163e-01 8.942999999999999838e-01 8.031000000000000361e-01
2.393000000000000405e-01 5.755000000000000393e-02 7.211000000000000743e-01 1.178900000000000059e+00 8.714999999999999414e-01
2.609000000000000208e-01 3.034999999999999851e-02 8.585000000000000409e-01 9.677000000000000046e-01 9.975000000000000533e-01
1.275000000000000022e-01 5.907000000000000445e-02 7.018999999999999684e-01 9.693000000000000504e-01 6.798999999999999488e-01
1.019000000000000045e-01 5.165000000000000147e-02 6.771000000000000352e-01 1.185699999999999976e+00 9.920999999999999819e-01
2.309000000000000219e-01 3.090999999999999998e-02 7.370999999999999774e-01 1.157899999999999929e+00 9.737000000000000099e-01
4.163000000000000034e-01 4.289000000000000451e-02 5.710999999999999410e-01 8.712999999999999634e-01 8.383000000000000451e-01
2.105000000000000204e-01 5.215000000000000191e-02 5.461000000000000298e-01 9.802999999999999492e-01 7.444999999999999396e-01
3.699000000000000066e-01 6.049000000000000904e-02 6.132999999999999563e-01 1.013100000000000112e+00 7.689000000000000279e-01
1.983000000000000040e-01 6.971000000000000807e-02 7.305000000000000382e-01 1.045300000000000118e+00 9.126999999999999558e-01
2.365000000000000435e-01 4.577000000000000512e-02 7.824999999999999734e-01 9.496999999999999886e-01 6.612999999999999989e-01
2.623000000000000331e-01 3.792999999999999844e-02 5.017000000000000348e-01 1.137100000000000000e+00 6.108999999999999986e-01
4.795000000000000373e-01 5.023000000000000381e-02 8.233000000000000318e-01 1.094500000000000028e+00 9.231000000000000316e-01
4.568999999999999728e-01 5.337000000000000077e-02 8.849000000000000199e-01 1.076100000000000056e+00 8.023000000000000131e-01
4.606999999999999984e-01 4.749000000000000443e-02 8.273000000000000353e-01 8.031000000000000361e-01 9.558999999999999719e-01
3.597000000000000197e-01 5.829000000000000153e-02 7.419000000000000039e-01 9.757000000000000117e-01 9.785000000000000364e-01
4.915000000000000480e-01 6.367000000000000437e-02 7.995000000000000995e-01 9.902999999999999581e-01 6.372999999999999776e-01
4.019000000000000350e-01 4.763000000000000567e-02 8.652999999999999581e-01 8.283000000000000362e-01 7.961000000000000298e-01
3.099000000000000643e-01 6.341000000000000802e-02 8.843000000000000860e-01 1.183699999999999974e+00 7.080999999999999517e-01
2.665000000000000147e-01 6.087000000000000743e-02 7.695000000000000728e-01 8.810999999999999943e-01 9.485000000000000098e-01
2.085000000000000187e-01 6.629000000000001558e-02 8.077000000000000846e-01 1.024499999999999966e+00 6.412999999999999812e-01
1.993000000000000049e-01 3.880999999999999728e-02 6.040999999999999703e-01 1.015500000000000069e+00 6.087000000000000188e-01
2.036999999999999922e-01 5.881000000000000810e-02 6.015000000000000346e-01 1.100500000000000034e+00 8.428999999999999826e-01
3.961000000000000076e-01 5.115000000000000102e-02 7.317000000000000171e-01 9.879000000000000004e-01 9.913000000000000700e-01
3.745000000000000551e-01 5.254999999999999949e-02 8.810999999999999943e-01 1.061099999999999932e+00 9.351000000000000423e-01
1.549000000000000099e-01 5.333000000000000240e-02 6.325000000000000622e-01 1.056899999999999951e+00 6.771000000000000352e-01
4.987000000000000322e-01 4.467000000000000137e-02 7.864999999999999769e-01 1.022699999999999942e+00 8.305000000000000160e-01
2.834999999999999742e-01 6.889000000000000679e-02 8.319000000000000838e-01 1.045900000000000052e+00 7.285000000000000364e-01
3.793000000000000815e-01 4.084999999999999742e-02 8.775000000000000577e-01 1.123099999999999987e+00 6.129000000000000004e-01
4.803000000000000602e-01 6.283000000000001084e-02 6.347000000000000419e-01 9.835000000000000409e-01 7.852999999999999980e-01
3.543000000000000593e-01 3.490999999999999659e-02 8.219000000000000750e-01 9.990999999999999881e-01 9.431000000000000494e-01
2.329000000000000237e-01 3.608999999999999708e-02 7.308999999999999941e-01 8.971000000000000085e-01 7.822999999999999954e-01
1.990999999999999992e-01 4.080999999999999905e-02 5.661000000000000476e-01 8.163000000000000256e-01 9.395000000000000018e-01
2.347000000000000197e-01 3.002999999999999767e-02 6.968999999999999639e-01 8.256999999999999895e-01 6.896999999999999797e-01
3.320999999999999508e-01 6.781000000000000916e-02 5.715000000000000080e-01 1.135699999999999932e+00 7.045000000000000151e-01
3.509000000000001007e-01 4.137000000000000399e-02 7.367000000000000215e-01 9.298999999999999488e-01 8.155000000000000027e-01
2.725000000000000200e-01 3.538999999999999785e-02 5.281000000000000139e-01 1.053500000000000103e+00 6.190999999999999837e-01
2.174999999999999989e-01 4.867000000000000492e-02 8.588999999999999968e-01 1.163100000000000023e+00 6.406999999999999362e-01
2.739000000000000323e-01 3.198999999999999760e-02 5.060999999999999943e-01 1.125099999999999989e+00 6.436999999999999389e-01
4.094999999999999751e-01 3.658999999999999753e-02 6.789000000000000590e-01 1.092100000000000071e+00 8.281000000000000583e-01
2.620999999999999996e-01 4.333000000000000740e-02 8.537000000000000144e-01 1.072699999999999987e+00 8.608999999999999986e-01
1.619000000000000161e-01 5.299000000000000932e-02 7.048999999999999710e-01 8.271000000000000574e-01 6.995000000000000107e-01
2.881000000000000227e-01 3.380999999999999978e-02 5.861000000000000654e-01 8.839000000000000190e-01 9.381000000000000449e-01
4.022999999999999909e-01 6.649000000000000743e-02 8.285000000000000142e-01 1.088500000000000023e+00 7.051000000000000600e-01
1.511000000000000121e-01 3.679000000000000326e-02 8.829000000000000181e-01 9.276999999999999691e-01 7.564999999999999503e-01
1.673000000000000043e-01 4.306999999999999718e-02 7.540999999999999925e-01 9.341000000000000414e-01 7.295000000000000373e-01
4.243000000000000105e-01 4.487000000000000710e-02 8.989000000000000323e-01 9.164999999999999813e-01 7.098999999999999755e-01
4.385000000000000009e-01 4.653000000000000191e-02 5.526999999999999691e-01 8.413000000000000478e-01 7.427000000000000268e-01
2.999000000000000554e-01 3.998999999999999777e-02 5.089000000000000190e-01 1.191100000000000048e+00 8.978999999999999204e-01
1.153000000000000136e-01 6.331000000000000516e-02 5.588999999999999524e-01 1.182300000000000129e+00 8.874999999999999556e-01
2.295000000000000095e-01 4.184999999999999831e-02 8.832999999999999741e-01 1.070699999999999985e+00 6.831000000000000405e-01
1.093000000000000083e-01 6.227000000000000590e-02 8.983000000000000984e-01 8.063000000000000167e-01 6.122999999999999554e-01
3.398999999999999799e-01 3.869000000000000217e-02 8.630999999999999783e-01 9.627000000000000002e-01 9.511000000000000565e-01
2.071000000000000341e-01 6.509000000000000896e-02 8.812999999999999723e-01 9.246999999999999664e-01 6.409000000000000252e-01
2.091000000000000358e-01 5.705000000000000349e-02 8.717000000000000304e-01 1.179699999999999971e+00 6.334999999999999520e-01
3.949000000000000288e-01 4.504999999999999977e-02 5.756999999999999895e-01 9.309000000000000608e-01 9.707000000000000073e-01
3.358999999999999764e-01 4.481000000000000261e-02 5.376999999999999558e-01 1.113900000000000112e+00 8.639000000000000012e-01
3.472999999999999976e-01 6.141000000000000625e-02 8.881000000000001116e-01 1.034699999999999953e+00 6.621000000000000218e-01
2.157000000000000028e-01 6.295000000000000595e-02 6.194999999999999396e-01 1.011099999999999888e+00 6.150999999999999801e-01
4.863000000000000655e-01 5.767000000000001292e-02 7.624999999999999556e-01 1.063900000000000068e+00 9.730999999999999650e-01
4.967000000000000304e-01 3.314999999999999891e-02 5.034999999999999476e-01 9.408999999999999586e-01 8.780999999999999917e-01
1.201000000000000123e-01 6.839000000000000634e-02 7.746999999999999442e-01 1.171899999999999942e+00 9.818999999999999950e-01
3.331000000000000072e-01 4.099000000000000560e-02 8.567000000000000171e-01 1.059900000000000064e+00 8.754999999999999449e-01
3.389000000000000346e-01 5.209000000000000435e-02 6.257000000000000339e-01 1.121299999999999963e+00 8.772999999999999687e-01
3.645000000000000462e-01 6.869000000000000106e-02 7.065000000000000169e-01 8.064999999999999947e-01 8.198999999999999622e-01
3.375000000000000222e-01 6.919000000000000150e-02 8.765000000000000568e-01 1.154300000000000104e+00 8.024999999999999911e-01
4.423000000000000265e-01 3.533000000000000029e-02 8.266999999999999904e-01 1.000900000000000123e+00 9.151000000000000245e-01
4.511000000000000565e-01 3.502999999999999864e-02 8.447000000000000064e-01 8.974999999999999645e-01 8.834999999999999520e-01
4.129000000000000448e-01 5.661000000000000754e-02 8.570999999999999730e-01 1.073500000000000121e+00 6.381000000000000005e-01
1.628999999999999893e-01 3.647000000000000242e-02 5.783000000000000362e-01 1.151100000000000012e+00 6.020999999999999686e-01
4.953000000000000735e-01 4.931000000000000660e-02 8.004999999999999893e-01 9.633000000000000451e-01 6.998999999999999666e-01
4.801000000000000822e-01 4.273000000000000409e-02 7.749000000000000332e-01 1.149100000000000010e+00 7.253000000000000558e-01
3.627000000000000224e-01 6.353000000000000314e-02 8.488999999999999879e-01 1.066300000000000026e+00 9.219000000000000528e-01
3.591000000000000858e-01 3.601000000000000034e-02 6.534999999999999698e-01 8.303000000000000380e-01 9.777000000000000135e-01
4.745000000000000329e-01 3.370999999999999691e-02 7.003000000000000336e-01 8.201000000000000512e-01 8.794999999999999485e-01
2.135000000000000231e-01 6.871000000000000718e-02 8.695000000000000506e-01 1.132300000000000084e+00 9.426999999999999824e-01
3.733000000000000762e-01 5.408999999999999919e-02 8.690999999999999837e-01 9.221000000000000307e-01 6.776999999999999691e-01
3.223000000000000309e-01 4.624999999999999944e-02 7.015000000000000124e-01 9.606999999999999984e-01 8.310999999999999499e-01
2.487000000000000322e-01 3.513000000000000150e-02 8.084999999999999964e-01 9.351000000000000423e-01 8.820999999999998842e-01
2.484999999999999987e-01 5.797000000000000763e-02 8.681000000000000938e-01 1.048899999999999944e+00 7.016999999999999904e-01
3.417000000000000037e-01 6.059000000000000496e-02 8.145000000000000018e-01 1.160299999999999887e+00 7.921000000000000263e-01
2.230999999999999928e-01 6.993000000000001992e-02 6.107000000000000206e-01 1.079699999999999882e+00 8.017000000000000792e-01
4.153000000000000025e-01 4.112999999999999989e-02 6.205000000000000515e-01 8.435000000000000275e-01 6.027000000000000135e-01
1.365000000000000102e-01 5.925000000000000405e-02 6.536999999999999478e-01 1.161499999999999977e+00 6.144999999999999352e-01
4.940999999999999837e-01 4.911000000000000087e-02 7.826999999999999513e-01 1.163499999999999979e+00 7.991000000000000325e-01
3.820999999999999952e-01 5.421000000000000818e-02 6.254999999999999449e-01 1.181899999999999951e+00 7.641000000000000014e-01
4.701000000000000734e-01 3.068999999999999853e-02 8.872999999999999776e-01 1.014699999999999935e+00 7.015000000000000124e-01
4.677000000000000046e-01 6.193000000000000588e-02 7.005000000000000115e-01 1.011900000000000022e+00 6.714999999999999858e-01
4.850999999999999757e-01 4.775000000000000078e-02 6.092999999999999527e-01 1.089900000000000091e+00 6.824999999999999956e-01
1.165000000000000063e-01 6.961000000000000520e-02 8.528999999999999915e-01 1.119899999999999896e+00 8.478999999999999870e-01
1.849000000000000088e-01 6.321000000000001617e-02 8.230999999999999428e-01 9.899000000000000021e-01 9.778999999999999915e-01
3.877000000000000446e-01 6.547000000000000042e-02 6.621000000000000218e-01 9.455000000000000071e-01 8.355000000000000204e-01
3.201000000000000512e-01 3.364999999999999936e-02 6.627000000000000668e-01 9.386999999999999789e-01 8.870999999999999996e-01
2.527000000000000357e-01 6.953000000000000846e-02 5.080999999999999961e-01 1.164900000000000047e+00 6.314999999999999503e-01
4.143000000000000016e-01 4.408999999999999725e-02 8.621000000000000885e-01 1.168299999999999894e+00 9.690999999999999615e-01
1.277000000000000079e-01 4.241000000000000325e-02 8.428999999999999826e-01 9.483000000000000318e-01 7.769000000000000350e-01
3.081000000000000405e-01 4.359000000000000374e-02 8.867000000000000437e-01 1.055299999999999905e+00 9.495000000000000107e-01
1.833000000000000185e-01 3.636999999999999955e-02 5.566999999999999726e-01 8.034999999999999920e-01 8.293000000000000371e-01
1.320999999999999952e-01 3.978999999999999898e-02 7.147000000000000020e-01 9.115000000000000879e-01 8.455000000000000293e-01
1.466999999999999971e-01 5.765000000000000679e-02 8.483000000000000540e-01 1.086100000000000065e+00 9.663000000000000478e-01
2.067000000000000226e-01 3.099000000000000019e-02 6.996999999999999886e-01 1.004099999999999993e+00 8.607000000000000206e-01
2.387000000000000233e-01 4.389000000000000540e-02 8.463000000000000522e-01 1.144299999999999873e+00 8.770999999999999908e-01
2.269000000000000183e-01 6.165000000000000341e-02 7.247000000000000108e-01 9.645000000000000240e-01 6.601000000000000201e-01
4.591000000000000636e-01 5.304999999999999993e-02 5.107000000000000428e-01 9.092999999999999972e-01 7.953000000000000069e-01
4.104999999999999760e-01 4.456999999999999851e-02 8.286999999999999922e-01 1.193699999999999983e+00 7.071000000000000618e-01
2.971000000000000307e-01 3.343000000000000138e-02 6.724999999999999867e-01 9.498999999999999666e-01 7.729000000000000314e-01
1.819000000000000061e-01 4.420999999999999930e-02 6.761000000000000343e-01 1.098700000000000010e+00 8.658999999999998920e-01
3.805000000000000604e-01 5.866999999999999993e-02 5.701000000000000512e-01 1.021300000000000097e+00 6.549000000000000377e-01
4.585000000000000187e-01 3.146999999999999797e-02 5.369000000000000439e-01 8.291000000000000592e-01 8.350999999999999535e-01
3.902999999999999803e-01 4.157000000000000278e-02 6.743000000000000105e-01 8.397000000000000020e-01 7.999000000000000554e-01
2.056999999999999940e-01 5.959000000000000408e-02 7.193000000000000504e-01 1.044300000000000006e+00 8.343000000000000416e-01
1.193000000000000033e-01 6.489000000000000323e-02 5.768999999999999684e-01 1.105900000000000105e+00 7.449000000000000066e-01
2.635000000000000675e-01 4.373000000000000498e-02 8.687000000000000277e-01 9.975000000000000533e-01 9.223000000000000087e-01
2.956999999999999629e-01 6.704999999999999849e-02 5.224999999999999645e-01 1.091299999999999937e+00 8.061000000000000387e-01
4.117000000000000659e-01 3.563000000000000195e-02 8.399000000000000909e-01 9.420999999999999375e-01 6.778999999999999471e-01
2.227000000000000091e-01 5.589000000000000218e-02 8.291000000000000592e-01 1.022499999999999964e+00 8.623000000000000664e-01
1.237000000000000044e-01 3.656999999999999834e-02 7.150999999999999579e-01 1.171100000000000030e+00 6.935000000000000053e-01
3.125000000000000000e-01 6.277000000000000635e-02 8.453000000000000513e-01 8.253000000000000336e-01 9.985000000000000542e-01
1.987000000000000155e-01 4.459000000000000463e-02 5.601000000000000423e-01 1.170700000000000074e+00 7.664999999999999591e-01
2.839000000000000412e-01 3.261000000000000010e-02 8.777000000000000357e-01 9.071000000000000174e-01 6.379000000000000226e-01
3.236999999999999877e-01 4.147000000000000686e-02 5.020999999999999908e-01 1.046499999999999986e+00 6.766999999999999682e-01
4.531000000000000583e-01 3.948999999999999733e-02 5.456999999999999629e-01 1.157499999999999973e+00 9.021000000000000130e-01
4.728999999999999870e-01 3.821000000000000091e-02 6.143000000000000682e-01 9.480999999999999428e-01 7.871000000000000218e-01
3.560999999999999721e-01 4.419000000000000011e-02 5.870999999999999552e-01 8.799000000000000155e-01 7.911000000000000254e-01
