#f_NL_equilateral Omega_m h n_s sigma_8
399.00000 0.23740 0.68340 0.95900 0.69140
-39.00000 0.18420 0.58500 0.80620 0.96180
252.60000 0.40220 0.63580 0.83260 0.65700
503.40000 0.46140 0.57300 0.85420 0.72380
16.20000 0.19340 0.70220 0.84860 0.89420
384.60000 0.16580 0.83940 0.89180 0.74300
432.60000 0.12420 0.83140 0.98340 0.70980
-203.40000 0.24220 0.66740 0.92380 0.86020
-454.20000 0.43420 0.61460 0.83220 0.96420
-421.80000 0.26700 0.64860 0.95500 0.85220
-12.60000 0.17460 0.60740 0.96060 0.61380
289.80000 0.15780 0.83820 0.93580 0.68340
-436.20000 0.43180 0.82700 0.99020 0.96460
377.40000 0.15300 0.65940 1.13500 0.68140
403.80000 0.12140 0.65140 1.00260 0.96700
30.60000 0.39460 0.81220 0.98860 0.70100
-264.60000 0.46940 0.67340 1.09580 0.68100
169.80000 0.24420 0.81700 1.14620 0.93460
318.60000 0.25380 0.65220 0.86860 0.89980
359.40000 0.21500 0.59740 1.19500 0.80540
-387.00000 0.10100 0.54660 1.04580 0.64300
-558.60000 0.41220 0.66780 0.89940 0.66740
222.60000 0.29220 0.86260 0.87060 0.68900
435.00000 0.11220 0.65300 1.03820 0.64460
-335.40000 0.45980 0.83780 1.18060 0.79260
112.20000 0.40660 0.69980 1.02820 0.96300
-79.80000 0.33020 0.53500 1.12420 0.79420
461.40000 0.31100 0.50620 0.93620 0.74940
351.00000 0.11700 0.71820 1.14220 0.74700
136.20000 0.23260 0.87900 0.81380 0.75620
-49.80000 0.12300 0.51660 0.95580 0.95340
-33.00000 0.41300 0.74100 1.00020 0.70900
59.40000 0.46460 0.85540 1.09860 0.85420
-557.40000 0.24500 0.71300 1.17300 0.79180
-211.80000 0.22940 0.76820 0.92820 0.74540
433.80000 0.41500 0.61340 0.83740 0.92100
-567.00000 0.16180 0.88140 1.04940 0.61060
-517.80000 0.13820 0.78420 0.98020 0.83540
-252.60000 0.36500 0.80180 1.14500 0.70020
-15.00000 0.46420 0.66620 0.83380 0.77940
231.00000 0.29060 0.53380 0.93220 0.89260
144.60000 0.34820 0.77780 1.13820 0.85180
-245.40000 0.13540 0.87420 1.07300 0.81740
293.40000 0.10540 0.86980 0.97620 0.77740
283.80000 0.44020 0.81980 0.99940 0.79540
177.00000 0.33900 0.86820 1.12260 0.73100
-169.80000 0.47180 0.59620 0.89460 0.87900
495.00000 0.39500 0.52740 0.86140 0.78660
271.80000 0.30900 0.74580 0.98100 0.91020
319.80000 0.14900 0.70100 1.08660 0.91620
-281.40000 0.48820 0.53300 1.17180 0.73780
539.40000 0.22620 0.67860 0.81780 0.89380
528.60000 0.17700 0.51500 0.83300 0.66700
18.60000 0.12220 0.71580 1.05620 0.96540
77.40000 0.46260 0.64220 1.10820 0.60660
-323.40000 0.46220 0.60260 0.93140 0.79140
423.00000 0.17020 0.53180 0.94460 0.96380
109.80000 0.22740 0.58940 1.07380 0.94380
-106.20000 0.36340 0.86300 0.88820 0.69940
262.20000 0.36580 0.78140 0.99660 0.66620
-307.80000 0.14500 0.81340 1.09140 0.74780
405.00000 0.45300 0.76700 0.84100 0.87340
-331.80000 0.42100 0.68740 0.93460 0.83580
-480.60000 0.43580 0.76580 0.94820 0.83700
235.80000 0.25260 0.50340 0.97780 0.60780
315.00000 0.23020 0.58820 1.09020 0.77700
437.40000 0.26820 0.69900 1.19860 0.88620
579.00000 0.18780 0.84220 1.09780 0.85660
-78.60000 0.28460 0.70980 0.88700 0.92300
13.80000 0.16900 0.66460 1.08540 0.63300
90.60000 0.24300 0.76540 1.15020 0.72540
-381.00000 0.26940 0.60780 1.18660 0.82940
521.40000 0.37580 0.72660 0.94220 0.77780
-553.80000 0.26300 0.89020 0.82820 0.88460
173.40000 0.44860 0.82060 0.89860 0.61620
253.80000 0.33740 0.77180 0.97140 0.65820
-295.80000 0.41580 0.74980 0.97460 0.68060
-53.40000 0.23940 0.63300 1.14020 0.64380
309.00000 0.14460 0.56020 0.99780 0.76380
-221.40000 0.16620 0.83700 1.19060 0.68260
507.00000 0.11140 0.64260 0.80060 0.91940
-541.80000 0.33420 0.76620 1.12780 0.92580
-477.00000 0.37220 0.67620 1.02100 0.65300
-598.20000 0.16820 0.72100 1.05100 0.97860
-325.80000 0.41860 0.69700 0.90460 0.62740
-160.20000 0.10020 0.56460 0.85140 0.61020
12.60000 0.45620 0.55020 1.00620 0.89780
-580.20000 0.31740 0.76940 1.09300 0.90220
-183.00000 0.14020 0.80780 0.97300 0.66860
352.20000 0.27220 0.63740 1.04540 0.91980
305.40000 0.49700 0.66140 1.18740 0.89740
265.80000 0.49140 0.61580 0.81820 0.74340
-443.40000 0.14980 0.82860 0.85900 0.67900
263.40000 0.43940 0.66100 0.89740 0.64220
132.60000 0.27660 0.54220 0.96620 0.95100
532.20000 0.47780 0.60900 1.01700 0.69220
-3.00000 0.23380 0.59780 0.85180 0.92140
484.20000 0.17060 0.53260 0.87260 0.87860
-463.80000 0.22380 0.85220 0.91060 0.70060
75.00000 0.22340 0.62900 1.10180 0.99580
233.40000 0.32180 0.64740 0.82420 0.82140
47.40000 0.41060 0.74860 0.93300 0.68780
-132.60000 0.13300 0.73660 0.83940 0.80420
67.80000 0.31060 0.86060 0.86100 0.71140
17.40000 0.11380 0.75460 0.93020 0.65740
-309.00000 0.48060 0.71340 1.09540 0.90260
597.00000 0.38220 0.72460 0.83180 0.68380
323.40000 0.28900 0.57260 1.00940 0.87500
-412.20000 0.23660 0.61820 0.98460 0.80140
-539.40000 0.25820 0.65820 1.16860 0.90820
96.60000 0.49340 0.68460 0.88340 0.67220
-570.60000 0.26540 0.57620 0.86220 0.67420
-552.60000 0.22540 0.72980 0.90740 0.94900
394.20000 0.31700 0.86180 1.15620 0.76940
477.00000 0.23300 0.71740 1.08980 0.81860
413.40000 0.41340 0.56340 0.94980 0.88300
547.80000 0.32460 0.56620 1.01980 0.70740
-277.80000 0.37740 0.55180 0.81620 0.61740
300.60000 0.45860 0.83020 1.15260 0.69340
467.40000 0.44300 0.78460 1.14980 0.80260
-279.00000 0.47620 0.72180 1.19300 0.74140
-136.20000 0.40500 0.56540 0.86300 0.89340
-142.20000 0.37780 0.74620 0.94340 0.91420
419.40000 0.12780 0.58340 0.84780 0.91300
-195.00000 0.38660 0.76220 0.99060 0.83460
-379.80000 0.46500 0.68660 0.94380 0.76980
-205.80000 0.14660 0.55980 1.01900 0.79780
561.00000 0.25180 0.60660 1.14060 0.92900
587.40000 0.32820 0.65180 1.06900 0.62060
-167.40000 0.35540 0.63500 1.07500 0.79580
71.40000 0.46700 0.60180 1.19660 0.78580
-321.00000 0.48500 0.87700 1.16700 0.77060
-537.00000 0.11460 0.77620 1.02660 0.70660
-256.20000 0.17620 0.70740 1.14780 0.84340
-34.20000 0.13020 0.65780 0.97940 0.79700
-81.00000 0.18700 0.88540 1.17420 0.75580
-202.20000 0.30140 0.53660 1.00060 0.75300
-300.60000 0.42620 0.68540 0.87300 0.94220
397.80000 0.39340 0.67580 0.83780 0.96060
-0.60000 0.18260 0.88980 0.92660 0.85900
24.60000 0.20500 0.66540 1.12380 0.85980
95.40000 0.48700 0.62140 0.80140 0.64700
570.60000 0.26180 0.71500 0.93100 0.75540
-349.80000 0.40820 0.61500 0.98820 0.66340
385.80000 0.10780 0.89940 1.06740 0.92540
81.00000 0.24260 0.79260 1.03620 0.90180
-304.20000 0.24940 0.53900 1.16740 0.74980
411.00000 0.44540 0.64460 1.08020 0.75700
-343.80000 0.24100 0.78980 0.98780 0.64340
425.40000 0.42180 0.58300 0.83100 0.87700
-521.40000 0.23980 0.58020 1.16140 0.97460
131.40000 0.20460 0.78340 1.12580 0.85020
-83.40000 0.21060 0.82900 0.93860 0.99420
171.00000 0.35940 0.58260 0.99740 0.64620
371.40000 0.19540 0.75140 1.13700 0.99700
-199.80000 0.20420 0.63340 0.92700 0.85780
454.20000 0.37020 0.81180 0.99380 0.74860
-519.00000 0.43500 0.79140 0.90580 0.74380
496.20000 0.37540 0.82260 0.80540 0.98300
-301.80000 0.36060 0.79900 1.05780 0.84180
-502.20000 0.31020 0.69860 0.88420 0.96260
591.00000 0.13660 0.55860 0.87220 0.69900
-340.20000 0.23180 0.54020 0.88500 0.61980
286.20000 0.21460 0.62100 1.11660 0.78900
322.20000 0.46300 0.69780 1.18820 0.78260
353.40000 0.45900 0.50020 0.93420 0.71580
478.20000 0.27500 0.55300 0.98980 0.86300
-409.80000 0.41420 0.85860 0.94500 0.97940
186.60000 0.35420 0.76060 1.05220 0.86380
-447.00000 0.43460 0.51060 1.11620 0.89020
258.60000 0.44220 0.87660 0.91300 0.88140
-89.40000 0.35340 0.88060 0.88380 0.72420
-514.20000 0.33980 0.54700 0.88940 0.80620
577.80000 0.47420 0.72340 1.12940 0.75060
-157.80000 0.31140 0.53220 1.01220 0.87300
185.40000 0.44900 0.67660 0.99860 0.66220
147.00000 0.15540 0.77740 1.12500 0.98100
19.80000 0.49500 0.73700 1.17260 0.73020
-9.00000 0.27300 0.62860 1.16580 0.63940
150.60000 0.40740 0.88900 1.10260 0.77900
120.60000 0.28820 0.74260 0.84980 0.78620
11.40000 0.24580 0.83060 0.91460 0.62220
61.80000 0.45180 0.62540 0.83620 0.98340
203.40000 0.34980 0.63620 1.16500 0.68020
-369.00000 0.37900 0.77820 0.91660 0.91780
-228.60000 0.28100 0.65500 0.97020 0.73260
-449.40000 0.15660 0.59700 1.17460 0.85620
321.00000 0.28980 0.85140 0.93980 0.68860
-280.20000 0.26740 0.67220 1.05300 0.83220
-275.40000 0.32220 0.87820 0.80020 0.99860
-269.40000 0.33660 0.71660 0.89580 0.84220
492.60000 0.34660 0.89380 0.92180 0.88260
544.20000 0.20380 0.62980 1.05340 0.80300
-129.00000 0.37260 0.89340 1.15060 0.60100
514.20000 0.40420 0.64780 1.07100 0.99900
-130.20000 0.17180 0.78100 1.14540 0.79500
-240.60000 0.21260 0.72020 1.05380 0.82900
453.00000 0.39380 0.88940 1.02700 0.89540
195.00000 0.42660 0.74700 1.08420 0.64860
552.60000 0.26340 0.59460 0.84380 0.78860
490.20000 0.29980 0.67460 1.05500 0.79820
391.80000 0.20900 0.55060 0.94780 0.74580
-385.80000 0.41620 0.54340 0.80300 0.95740
341.40000 0.47980 0.51220 1.14700 0.64540
448.20000 0.12460 0.51540 1.10340 0.87820
251.40000 0.13060 0.70700 1.06140 0.76900
89.40000 0.30740 0.63980 1.00180 0.92700
473.40000 0.46180 0.75740 1.18780 0.77500
108.60000 0.46340 0.89500 0.97740 0.97220
-532.20000 0.27100 0.63180 0.87420 0.82980
126.60000 0.27860 0.51740 0.92340 0.95580
73.80000 0.22500 0.50940 1.04620 0.99060
-484.20000 0.18340 0.66260 1.02460 0.83740
-429.00000 0.18860 0.52140 0.85100 0.99660
-329.40000 0.25740 0.54620 1.12740 0.89580
287.40000 0.34260 0.52420 1.17380 0.90020
502.20000 0.48980 0.86100 1.06860 0.61780
334.20000 0.11340 0.51900 0.88460 0.84740
149.40000 0.37420 0.52500 1.08940 0.82700
439.80000 0.15860 0.56860 0.91900 0.97020
135.00000 0.38260 0.56300 0.92060 0.77100
-441.00000 0.20740 0.54300 1.01500 0.63420
162.60000 0.42060 0.67180 1.03220 0.67860
216.60000 0.27060 0.86340 0.89300 0.69420
-485.40000 0.43860 0.81580 1.06180 0.60500
333.00000 0.33780 0.72380 1.15900 0.78220
310.20000 0.22700 0.89100 1.18580 0.98580
-198.60000 0.24020 0.57420 0.87820 0.69500
-528.60000 0.20820 0.60580 0.96340 0.86260
472.20000 0.39780 0.80540 1.13340 0.98740
268.20000 0.46580 0.80460 0.83060 0.84660
-210.60000 0.16780 0.60060 0.95780 0.80780
-161.40000 0.42020 0.69220 1.17540 0.85060
-389.40000 0.28260 0.73380 1.04460 0.96660
511.80000 0.47580 0.65460 1.19260 0.73700
529.80000 0.38340 0.83620 0.82100 0.76780
468.60000 0.22820 0.82980 0.96940 0.62580
-171.00000 0.48020 0.69140 0.80580 0.93980
543.00000 0.33140 0.83220 1.15940 0.88740
556.20000 0.29700 0.75900 1.14900 0.92460
402.60000 0.29100 0.66900 1.15220 0.73180
-55.80000 0.40340 0.80260 1.13100 0.90420
-220.20000 0.46660 0.80020 0.84260 0.98620
559.80000 0.49860 0.59540 1.19780 0.73620
-336.60000 0.10260 0.84020 1.02220 0.67700
-361.80000 0.11860 0.58740 1.09620 0.92340
-367.80000 0.37620 0.59140 1.17980 0.60540
581.40000 0.38940 0.70180 0.87780 0.81980
-180.60000 0.27180 0.87180 0.86180 0.94980
-393.00000 0.16420 0.63260 0.85260 0.65220
-403.80000 0.10700 0.59060 0.99900 0.80020
228.60000 0.47700 0.71780 1.04740 0.71460
553.80000 0.39700 0.54180 1.02540 0.96740
-372.60000 0.18620 0.55660 1.03660 0.93620
-43.80000 0.31180 0.64060 0.86260 0.94460
-51.00000 0.29500 0.80340 0.97660 0.88580
-274.20000 0.41900 0.69020 0.93660 0.67100
-531.00000 0.19780 0.82380 0.91380 0.61100
-497.40000 0.12260 0.72220 0.97340 0.65500
-231.00000 0.16460 0.52580 1.06500 0.73660
-406.20000 0.23060 0.75340 0.95860 0.98260
48.60000 0.25660 0.81060 1.08340 0.89300
-258.60000 0.32020 0.78740 0.84540 0.86900
-390.60000 0.24740 0.62060 1.11140 0.85100
-48.60000 0.36780 0.66820 0.87100 0.75100
-347.40000 0.20660 0.65340 0.96700 0.67620
522.60000 0.23420 0.88340 0.97100 0.99780
376.20000 0.11500 0.65740 1.02740 0.78060
-439.80000 0.35580 0.79180 1.02900 0.82300
349.80000 0.16660 0.60620 0.95700 0.68940
465.00000 0.21220 0.70940 1.07020 0.67260
-546.60000 0.22460 0.59220 0.89540 0.64900
-559.80000 0.40380 0.62580 0.98540 0.62260
462.60000 0.41780 0.56940 0.90340 0.80460
-253.80000 0.32100 0.69820 1.15700 0.88100
36.60000 0.22780 0.64900 0.98500 0.99540
298.20000 0.23900 0.76020 1.03580 0.81380
105.00000 0.43540 0.51780 0.83660 0.60900
-579.00000 0.45060 0.87140 0.82020 0.73060
-364.20000 0.41660 0.53700 0.84660 0.95540
215.40000 0.48740 0.70780 1.02980 0.97980
-238.20000 0.28780 0.64180 1.09980 0.95300
6.60000 0.30420 0.88420 1.03180 0.72460
-592.20000 0.32580 0.51580 1.05740 0.98660
256.20000 0.16260 0.66300 1.09420 0.93100
-348.60000 0.40460 0.51260 1.12220 0.61540
347.40000 0.47860 0.83260 0.90660 0.72860
72.60000 0.16540 0.73820 0.99580 0.78340
408.60000 0.19460 0.87940 1.02940 0.78020
-474.60000 0.47540 0.81940 1.01100 0.70340
442.20000 0.20340 0.56420 1.16100 0.81820
527.40000 0.19660 0.63420 0.91100 0.85260
-317.40000 0.34500 0.71700 1.09380 0.68500
255.00000 0.12740 0.60460 0.81180 0.91700
345.00000 0.36460 0.66660 1.12540 0.67180
-491.40000 0.14100 0.59420 0.86020 0.62620
-563.40000 0.44620 0.87980 0.96220 0.76580
33.00000 0.14420 0.67060 0.95140 0.81340
331.80000 0.49300 0.78780 1.07660 0.84100
31.80000 0.38900 0.73260 1.08780 0.98900
-125.40000 0.29660 0.62260 0.89100 0.70780
-483.00000 0.40180 0.79860 0.95660 0.62100
-13.80000 0.31940 0.80580 0.84900 0.78300
-334.20000 0.12100 0.61420 0.88580 0.60140
475.80000 0.19980 0.64660 0.87740 0.97580
199.80000 0.30180 0.79220 1.13260 0.62780
-501.00000 0.38540 0.83180 1.16420 0.94060
198.60000 0.20100 0.73940 1.08740 0.63900
-433.80000 0.34460 0.61860 0.93540 0.76140
593.40000 0.17820 0.68300 1.01260 0.98540
133.80000 0.25100 0.88700 0.86340 0.84300
-486.60000 0.16100 0.52100 0.98620 0.86500
-88.20000 0.17300 0.68180 1.12660 0.71380
207.00000 0.15460 0.58380 0.85940 0.95900
85.80000 0.44580 0.72780 1.04380 0.63740
-87.00000 0.29300 0.76460 1.10220 0.86140
-121.80000 0.37940 0.55620 0.86660 0.63100
-141.00000 0.24700 0.62780 0.94700 0.99620
-496.20000 0.12580 0.70900 1.02580 0.73220
-475.80000 0.31500 0.82780 0.99180 0.72100
563.40000 0.14340 0.78700 1.11740 0.92180
-155.40000 0.41100 0.56180 0.82140 0.84780
-588.60000 0.32380 0.75860 0.85620 0.78380
574.20000 0.44460 0.87780 0.82660 0.91340
-396.60000 0.32340 0.68220 0.86980 0.60860
178.20000 0.18940 0.67780 1.13940 0.86660
-550.20000 0.10220 0.51940 1.04220 0.86860
445.80000 0.38620 0.73100 0.88980 0.99380
-337.80000 0.18220 0.68100 0.94900 0.62980
-289.80000 0.49460 0.52220 1.12620 0.69740
-262.20000 0.43020 0.77420 0.94260 0.90980
202.20000 0.28420 0.71100 0.94580 0.86940
-73.80000 0.22900 0.81780 0.92860 0.80980
535.80000 0.30540 0.57820 1.16300 0.81460
-107.40000 0.31860 0.71860 1.11420 0.88860
-115.80000 0.47260 0.63660 1.17780 0.76820
273.00000 0.48660 0.77060 0.80900 0.73740
519.00000 0.39420 0.51820 1.12820 0.71620
21.00000 0.42380 0.72140 1.04260 0.82340
129.00000 0.14260 0.73740 1.04300 0.62540
-504.60000 0.10340 0.67260 1.16780 0.68460
174.60000 0.13180 0.83500 0.91620 0.91540
-438.60000 0.32900 0.71540 1.13740 0.79380
-28.20000 0.42540 0.63020 1.10300 0.70700
-71.40000 0.49180 0.60300 1.04100 0.75660
102.60000 0.41460 0.69580 0.90260 0.93660
-445.80000 0.37380 0.87500 1.06940 0.63540
-388.20000 0.37860 0.87100 1.07180 0.62180
-363.00000 0.33340 0.63780 0.81940 0.92380
99.00000 0.24460 0.79620 1.13660 0.84420
390.60000 0.11540 0.78540 1.04780 0.94820
-459.00000 0.43260 0.55420 1.19100 0.88780
-544.20000 0.31980 0.65660 0.86500 0.66420
-291.00000 0.26980 0.75500 0.91260 0.86780
-426.60000 0.48140 0.80140 0.82180 0.83060
-85.80000 0.48220 0.82500 1.05980 0.86460
569.40000 0.31620 0.53100 0.92740 0.82580
125.40000 0.38020 0.53580 1.03460 0.77220
531.00000 0.39100 0.53740 1.16340 0.90100
-209.40000 0.28300 0.68140 1.01580 0.85580
111.00000 0.29580 0.52900 1.06300 0.63220
249.00000 0.45260 0.55220 1.18700 0.65020
-249.00000 0.42220 0.73540 0.85300 0.99980
-100.20000 0.14820 0.78260 1.01740 0.85940
-54.60000 0.10740 0.76420 1.10100 0.67060
-46.20000 0.36140 0.85500 0.81900 0.90860
66.60000 0.44700 0.74780 1.18980 0.81580
361.80000 0.12660 0.75180 1.10380 0.60620
379.80000 0.29780 0.84300 1.14100 0.82260
153.00000 0.25340 0.71980 0.93900 0.75820
406.20000 0.21180 0.74140 1.10940 0.99020
-57.00000 0.31780 0.55340 0.91220 0.60260
288.60000 0.37180 0.67300 0.93820 0.97500
533.40000 0.35300 0.82100 1.01340 0.71780
389.40000 0.18500 0.73220 1.09340 0.65780
193.80000 0.12900 0.75700 1.00380 0.80700
-298.20000 0.21980 0.67820 0.85540 0.90380
-239.40000 0.10980 0.80500 0.94740 0.97420
-102.60000 0.49540 0.69620 0.81500 0.85500
538.20000 0.45940 0.61620 1.05460 0.89620
375.00000 0.26860 0.66860 0.87020 0.70540
-489.00000 0.35180 0.75220 1.13220 0.84580
357.00000 0.28500 0.50060 0.96420 0.72060
29.40000 0.25780 0.57700 0.80420 0.92740
-287.40000 0.41740 0.87860 0.80260 0.78540
573.00000 0.43620 0.89900 1.05580 0.76620
76.20000 0.26380 0.70020 0.99100 0.95980
474.60000 0.36220 0.53020 0.84500 0.88220
-243.00000 0.22020 0.74660 1.16660 0.93340
-234.60000 0.29740 0.51020 1.15380 0.63060
-77.40000 0.12380 0.69660 1.09900 0.69100
443.40000 0.16980 0.63380 1.00660 0.78820
70.20000 0.30020 0.57380 0.81220 0.87420
145.80000 0.42140 0.70460 0.84940 0.90620
-375.00000 0.14300 0.57980 1.19700 0.82620
-430.20000 0.43980 0.50660 0.92620 0.62020
489.00000 0.15180 0.54500 0.85820 0.88900
-292.20000 0.26660 0.58540 0.89340 0.86100
545.40000 0.16340 0.83980 1.06220 0.72260
-222.60000 0.11620 0.55580 1.06780 0.77180
366.60000 0.30500 0.55140 1.13780 0.97060
7.80000 0.32700 0.79940 1.00500 0.82220
505.80000 0.46780 0.52620 1.17500 0.77020
-382.20000 0.16140 0.71900 1.16020 0.77580
-397.80000 0.38180 0.84580 1.07820 0.93220
-582.60000 0.19180 0.71220 0.93780 0.69300
107.40000 0.29420 0.63700 1.10980 0.80340
381.00000 0.30380 0.58060 1.07700 0.90900
-413.40000 0.22580 0.58460 0.90420 0.94620
312.60000 0.33620 0.88020 1.08900 0.90660
78.60000 0.35700 0.50100 1.14380 0.91100
340.20000 0.40060 0.88780 1.09460 0.71660
316.20000 0.18540 0.81660 1.01380 0.85820
515.40000 0.23340 0.71060 1.00980 0.78940
-163.80000 0.29940 0.70660 1.18380 0.94540
-42.60000 0.21660 0.86780 0.83460 0.71060
-313.80000 0.43340 0.57500 1.06980 0.61460
-105.00000 0.38060 0.86500 1.01300 0.99140
480.60000 0.38780 0.73980 1.05700 0.86420
100.20000 0.31260 0.59500 0.96580 0.60940
-99.00000 0.28700 0.66700 1.19220 0.75140
436.20000 0.13900 0.75380 0.92260 0.87460
-571.80000 0.34100 0.86700 0.94060 0.67780
-37.80000 0.36540 0.77900 1.14260 0.80940
101.40000 0.44380 0.65260 1.09500 0.89500
336.60000 0.46060 0.60940 1.15340 0.61580
-246.60000 0.45140 0.86460 1.09180 0.81780
-227.40000 0.41940 0.74300 1.10620 0.97900
-265.80000 0.10060 0.56260 0.91980 0.90740
-358.20000 0.47340 0.73780 0.85380 0.65860
267.00000 0.42980 0.73620 1.09100 0.90140
-448.20000 0.19420 0.77540 1.09740 0.75460
-402.60000 0.28180 0.89220 0.82340 0.93180
-190.20000 0.39300 0.73060 1.13540 0.60980
-65.40000 0.21020 0.84180 1.06620 0.93420
220.20000 0.45340 0.89700 0.98300 0.64260
-505.80000 0.21100 0.82940 0.93260 0.67020
189.00000 0.47020 0.78060 1.06700 0.70260
382.20000 0.37060 0.50260 0.82380 0.94860
426.60000 0.27740 0.52780 0.99340 0.67660
393.00000 0.36980 0.78940 0.80220 0.76700
165.00000 0.33260 0.52460 0.88020 0.68180
-255.00000 0.32660 0.55500 1.17860 0.89900
364.20000 0.47380 0.85460 0.88140 0.61940
-192.60000 0.17900 0.80620 0.95620 0.87220
-215.40000 0.21140 0.60980 1.13900 0.93580
246.60000 0.30580 0.67500 1.08580 0.62300
217.80000 0.48860 0.86620 0.86620 0.72820
429.00000 0.49660 0.88100 1.13380 0.93500
-565.80000 0.13420 0.79460 1.10740 0.90060
-551.40000 0.33700 0.50740 1.02300 0.63500
240.60000 0.40860 0.66940 1.03140 0.76260
175.80000 0.22660 0.56060 1.04900 0.63780
250.20000 0.44180 0.56780 0.87620 0.92860
